ADDRESS,pdq,MSE_EMA,MSE_ARIMA,MSE_GARCH,MSE_GJRGARCH,SHARE_ZERO,MAX_VALUE,AVG_VALUE,MEDIAN_VALUE,PERIODICITY,ENTRIES,CLUSTER
0x91ea5041cbee313ef245922243bd4e2bb0650449,1 1 3,0.000659417368113908,0.000782424650201401,0.000763130305099249,0.000742392717878287,0.5446716899892358,0.21,0.019376246414924695,0.0,1.4103896103896103,929,0
0x0f45fa863ae1bd4d46b550e488b47cf8adfaabbc,1 0 2,0.00161519642431452,0.00262773746106447,NaN,NaN,0.5392051557465092,1.0,0.02321406575039814,0.0,1.3076923076923077,931,0
0xdc6e14eebcadab476730a93f2b61bfb4765840e7,0 0 0,0.000443227773793585,0.000665094112788148,0.000530362399456751,0.000521241923459502,0.5492424242424242,0.2,0.008984700374064226,0.0,2.6527777777777777,264,0
0x656d14de1a9986af0cd916644a96745bfc0031dc,2 0 2,0.00223482959647252,0.00341354342553596,0.0026195442041558,0.00261857816134439,0.504,0.5,0.025437586240124536,0.0,1.4606299212598426,625,0
0x79137d62f126836f96fed0fe044c7c0023f6cd15,0 1 3,0.082864632621867,1.13795146221405,0.0999059199445032,0.100134866361343,0.406137773424747,24.3187948251887,0.28538418701411844,0.02,0.7188552188552189,3063,0
0x22ba2662ccf6a0191675bed265a0f295669a0d1e,5 1 0,0.245939215270181,8.4480747155058,0.285645265020535,0.284707435860545,0.8825659596482152,35.566427,0.5802386126875281,0.0,8.862244897959183,1933,1
0x5f927395213ee6b95de97bddcb1b2b1c0f16844f,0 1 2,0.0205368635462092,0.246332825338727,0.024271495141117,NaN,0.0,29.302960657107896,0.13000854164171743,0.0535301224669535,0,10000,3
0xc32426b0eca21c00b0b988b30ad16ce6a687d60c,0 1 4,0.0111512054061272,0.0292101436423437,0.0137798543725503,0.0137530099876534,0.31635651322233105,2.099,0.07522141078077917,0.02,1.1564482029598309,1021,0
0x00b514e22057629098598ee76f30381a721fac59,4 1 5,0.0380832910094938,0.211432277498796,0.0496320019494667,0.0498322815684258,0.5609065155807366,6.1,0.12959108268387096,0.0,2.1517857142857144,353,0
0xfcbe7b6da18a08a86ab1beb68c7372a60ab4e331,3 1 1,0.160095761848041,4.71785966991141,0.189166512861326,0.189270633529157,0.6009669021941242,52.5,0.48905410525674436,0.0,1.763617677286742,2689,0
0x49cdeeb07130ff3940bef27d43c758323cac4ec2,2 0 2,0.000782742937720974,0.000938687740831505,0.00093560734331145,0.000916037342429442,0.3945720250521921,0.32,0.018960137362637363,0.0,1.7314285714285715,958,0
0xc5138cbf2a63e234689c1e40ff4553fdda1bffbd,1 1 3,0.0159928432136289,0.0300066897567996,0.0159361729071404,0.0156077771020586,0.4757085020242915,2.0,0.10348498932635343,0.05,0.916504854368932,988,0
0xb0393ba9801a3dcc1cb9e4ea6ffef8630217ac75,0 1 1,0.0599470694229075,0.154420167912692,0.0730036076052813,0.0729814924024349,0.340080971659919,2.061323734976258,0.30284900444359436,0.09747898623954519,1.0672268907563025,247,0
0x175052854d6b4a1fca26340b1218b54f74d0f0e4,0 0 1,0.0350157922518813,0.0778516296096477,0.0402749997471792,0.0402749997100973,0.45535714285714285,1.5,0.16248544209362709,0.025,1.018018018018018,224,0
