ADDRESS,SHARE_ZERO,MAX_VALUE,AVG_VALUE,MEDIAN_VALUE,PERIODICITY,ENTRIES
0xE0fBbD2e652f7Bef2a1372A62E83078358B1FBe6,0.4689922480620155,9.0189,0.21305686687129005,0.004337830217325294,1.064,516
0xf07b2b77ccf8bbd83e8756fc13efa628c4198e52,0.38323353293413176,1.329927601532064,0.05327889546701754,0.015,0.9529411764705882,167
0x05d3a7c56bf43ddde1f4fad6c681abcea78e1907,0.5245579567779961,1.5,0.08690333070403651,0.0,1.2378854625550662,509
0xefb33715195bbcd3d0dbe2c450dd4546f9f04fa0,0.5215281989084294,1.46,0.07125055617266357,0.0,1.2527322404371584,1649
0x6bbe42bf39c9ffb31376eb64e0908d74eab5bdb8,0.30395913154533843,12.5,0.5011143403816167,0.1,0.7853881278538812,783
0x93a493f10f11b6c4574eae1fcb4d12241174090e,0.6630434782608695,0.848,0.036412886014968865,0.0,3.4634146341463414,184
0x445869e1aeaa5a7b594016e652fd572f3b1c1a2e,0.5221674876847291,0.03,0.0033182610681317623,0.0,1.1041666666666667,203
0xa50dda47dcecc659837d8341740ef7b59695ac1d,0.5827115559599636,0.12889552922865305,0.006245945611586127,0.0,3.915026833631485,5495
0x21635687b928cdf890602ff4685d6a1593f26097,0.33926453143534996,2.003993053463347,0.06998306275388883,0.01375,0.8225108225108225,843
0x4ed2c56261bd182afd7a40b8ceb24f526b0e3fc7,0.6218487394957983,0.25,0.008181097424694988,0.0,2.606060606060606,357
0x25022e475407f4a5e0db591a306149211e95c1f0,0.47668393782383417,49.0,2.7529881944444443,0.0,2.673076923076923,193
0xf15ff189ab4741c1501af7896956731a21404736,0.6398190045248868,2.0,0.04824716839376994,0.0,2.298507462686567,1105
0x22b58bc1817a81590675d726767a21048e329a17,0.3157894736842105,0.9719,0.04048955397987045,0.0068,1.2930232558139534,494
0x03dce0d23ec7ef0a297e4f0e3aec1f5fe34767e5,0.4057471264367816,1.3,0.0554637920170488,0.005,1.268929503916449,870
0x6df01853fc014065201d5b9ca57135f76142882d,0.45696097425961807,6.9,0.049799778438418596,0.003,1.0286355979786637,3613
0x8c1321c782c169aa93c7c211ed92956e84d2f3e8,0.4750830564784053,5.5,0.17428645846999222,0.0,1.34765625,602
0xcee6fef92a637167a141c14984e82776fe06bce2,0.3310657596371882,32.5,1.0002584185586392,0.051,0.575,441
0x2c419c8b207b10b39673482d83caa3e11f3604c5,0.4461271102284012,40.0,0.3717700973521254,0.032,0.8796080261315913,4028
0x26013b787aac632a92483f669e2de85103ad2536,0.42743651581784653,36.8,0.41402537409207474,0.01,1.0848861283643891,7049
0xffd93569b883e25ee87fa515c77bf4f327d069f0,0.3871951219512195,0.192,0.013483133644511243,0.0055,0.8555240793201133,656
0x8876614f53a76eda03793e5487d37db35396688f,0.45464135021097046,1.25,0.04309754497819673,0.0,1.3121951219512196,948
0xe96cedeb47fb2ac8371fbbb78721212ae41b1044,0.640625,2.9,0.168608352742564,0.0,1.8863636363636365,128
0x79406b5ea49299fe74b171372f402e5f44ff6d71,0.4428754813863928,0.4,0.022025502990435798,0.0,1.4651898734177216,779
0x240543929693333da0946cbf2597c099e4daa7cf,0.0,13100.964459,144.90982344573374,3.60265461,0.06496964532964107,10000
0xd720fc3e6e36fbae705b697564b19b40aa5609fc,0.39076923076923076,3.7367143613362215,0.08883328980245787,0.04337496284033047,0.8697841726618705,2600
